First Name,Last Name,Email,Phone,Gender,Age,Job Title,Years of Experience,Salary,Department,Other Languages
Jeffrey,Lane,jeffrey.lane336@slingacademy.com,377.542.0875,Male,37,Media planner,9,129000,Finance,"Korean, Tagalog"
Jane,Campbell,jane.campbell278@slingacademy.com,+1-247-524-5273x79609,Female,44,Contractor,6,116670,Operations,Spanish
Heer,Goswami,heer.goswami608@slingacademy.com,001-535-287-6719x58236,Female,51,Ambulance person,1,129000,Finance,Arabic
Mahika,Saha,mahika.saha455@slingacademy.com,381-326-9592,Female,23,Private music teacher,4,61239,Administrative,Spanish
Travis,Hamilton,travis.hamilton659@slingacademy.com,(473)942-9821x47422,Male,64,"Loss adjuster, chartered",6,149000,Product,
Jessica,Smith,jessica.smith882@slingacademy.com,001-905-553-1476x926,Female,49,"Scientist, water quality",5,149000,Product,
Kelly,Guzman,kelly.guzman219@slingacademy.com,727-876-2689,Female,43,Recruitment consultant,2,131000,I/T,
Jhanvi,Kannan,jhanvi.kannan405@slingacademy.com,360-407-8105,Male,61,Clinical embryologist,2,61239,Administrative,Mandarin
Yasmin,Kibe,yasmin.kibe975@slingacademy.com,(776)487-5476,Female,26,Field seismologist,1,101420,Sales,"Spanish, Korean"
Nayantara,Zachariah,nayantara.zachariah714@slingacademy.com,001-397-201-4634,Male,48,"Therapist, speech and language",3,116670,Operations,
William,Mitchell,william.mitchell798@slingacademy.com,+1-372-659-6352x19363,Male,62,"Psychologist, educational",7,61239,Administrative,"Tagalog, Mandarin"
Jo,Paul,jo.paul865@slingacademy.com,849.851.0369,Female,50,"Engineer, communications",8,85000,Human Resource,
Raymond,Robles,raymond.robles547@slingacademy.com,6549576347,Male,50,"Runner, broadcasting/film/video",8,85000,Human Resource,"Tagalog, Hindi"
Hannah,Hill,hannah.hill328@slingacademy.com,379.671.8562x969,Female,23,"Administrator, sports",12,90000,Legal,
Nehmat,Dyal,nehmat.dyal652@slingacademy.com,669-354-9232,Female,42,"Surveyor, commercial/residential",1,149000,Product,
Daniel,Mcgee,daniel.mcgee353@slingacademy.com,(739)297-9063x59389,Male,61,Technical sales engineer,10,131000,I/T,
Armaan,Mandal,armaan.mandal765@slingacademy.com,(765)392-2195x208,Male,49,Occupational psychologist,12,116670,Operations,Arabic
Amy,Bradshaw,amy.bradshaw443@slingacademy.com,979.877.9256x588,Female,31,"Engineer, broadcasting (operations)",4,116670,Operations,"Korean, Arabic"
Timothy,Lopez,timothy.lopez567@slingacademy.com,+1-239-465-8609x0243,Male,24,Chiropodist,10,131000,I/T,
Kabir,Dora,kabir.dora619@slingacademy.com,4698615372,Female,67,Psychotherapist,11,101420,Sales,
Sherry,Thompson,sherry.thompson496@slingacademy.com,(596)328-6161,Female,48,"Pharmacist, hospital",3,131000,I/T,
Samaira,Dhillon,samaira.dhillon420@slingacademy.com,+1-615-289-7938,Female,35,"Designer, industrial/product",6,131000,I/T,
Rania,Contractor,rania.contractor776@slingacademy.com,787-319-6934,Female,46,Energy engineer,1,78000,Marketing,
Dhanuk,Iyengar,dhanuk.iyengar212@slingacademy.com,4062520557,Male,24,"Engineer, land",12,149000,Product,
Dylan,Hoover,dylan.hoover148@slingacademy.com,236.498.9968,Male,28,"Accountant, chartered public finance",10,85000,Human Resource,Korean
Ryan,Jennings,ryan.jennings338@slingacademy.com,001-821-961-0629x60820,Male,30,"Programmer, applications",14,85000,Human Resource,
Charlene,Ross,charlene.ross70@slingacademy.com,675.312.4421x702,Female,29,"Scientist, water quality",3,131000,I/T,Hindi
Tiya,Ben,tiya.ben291@slingacademy.com,+1-814-495-0948,Male,70,Barrister's clerk,3,90000,Legal,
Lee,Lucas,lee.lucas837@slingacademy.com,+1-303-924-6205,Male,69,Hydrographic surveyor,5,90000,Legal,"Hindi, Hindi"
Aniruddh,Jaggi,aniruddh.jaggi24@slingacademy.com,+1-427-925-8720x796,Male,21,Graphic designer,9,78000,Marketing,Spanish
Elakshi,Goda,elakshi.goda580@slingacademy.com,+1-298-862-5520x7058,Female,59,Travel agency manager,4,85000,Human Resource,"Mandarin, Mandarin"
Cameron,Esparza,cameron.esparza73@slingacademy.com,(463)479-1115x764,Male,44,Office manager,7,116670,Operations,Mandarin
兵,屈,兵.屈789@slingacademy.com,326.438.9763,Male,35,Trading standards officer,5,116670,Operations,
Benjamin,Foster,benjamin.foster50@slingacademy.com,530-772-2563,Male,40,Hydrographic surveyor,14,149000,Product,Mandarin
